id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
2475534.0,475534 (2006 TS7),0.152249185,0.3404395273,58488.8709085128,72329196.82159361,Earth,False,21.21,True
2141432.0,141432 (2002 CQ11),0.2658,0.5943468684,100436.8686984148,71038868.8474235,Earth,False,20.0,True
54166590.0,(2021 MU2),0.3195618867,0.7145621017,104701.6845282406,72678822.39252508,Earth,False,19.6,True
3407680.0,(2008 FW6),0.1677084622,0.3750075218,59353.7513849917,21005963.22175125,Earth,False,21.0,True
2152637.0,152637 (1997 NC1),0.6707411893,1.4998228946,63856.4993277494,60826481.31593977,Earth,False,17.99,True
2405762.0,405762 (2005 YO180),0.233644185,0.5224442801,82978.7990881615,59723809.50828913,Earth,False,20.28,True
2477465.0,477465 (2009 XZ1),0.1226182113,0.2741826558,60772.6909956607,20686894.60150472,Earth,False,21.68,True
3744790.0,(2016 DL),0.1394938229,0.3119176705,53871.2210140488,50251739.66379586,Earth,False,21.4,True
3092474.0,(2001 VC2),0.1460679643,0.3266178974,42936.8075423514,33009753.187661428,Earth,False,21.3,True
2437844.0,437844 (1999 MN),0.1565146436,0.3499773825,60694.5932548625,7739902.810983063,Earth,False,21.15,True
3729835.0,(2015 TB145),0.2609486033,0.5834988155,125807.719189923,486807.131876989,Earth,False,20.04,True
2035396.0,35396 (1997 XF11),1.038855101,2.3229506246,43778.1649699314,39168602.56075313,Earth,False,17.04,True
3007574.0,(1997 WQ23),0.1838886721,0.411187571,64747.6183752815,34928589.81965804,Earth,False,20.8,True
2405212.0,405212 (2003 QC10),0.6554732558,1.4656827575,46140.6353710867,65204254.187742606,Earth,False,18.04,True
3736679.0,(2015 XE352),0.1724070324,0.3855138443,28902.1713999063,17938006.752798963,Earth,False,20.94,True
3373980.0,(2007 HA),0.2315021222,0.5176544822,102764.7385449188,46965457.77451816,Earth,False,20.3,True
3797710.0,(2018 BP),0.2053784995,0.459240286,23823.7547271092,9266243.924597835,Earth,False,20.56,True
2494710.0,494710 (2005 MO13),0.1838886721,0.411187571,31436.1633344754,34599395.99669586,Earth,False,20.8,True
2138971.0,138971 (2001 CB21),0.5230641758,1.1696070537,31312.2626663772,39589263.97714409,Earth,False,18.53,True
2163348.0,163348 (2002 NN4),0.2561857545,0.5728487619,68574.5399657704,70438266.89433658,Earth,False,20.08,True
3579078.0,(2011 SM68),0.3151773333,0.7047579421,80508.0259549116,29087393.97568119,Earth,False,19.63,True
3623524.0,(2013 AN20),0.1160259082,0.2594418179,48521.9403430204,11511506.669363752,Earth,False,21.8,True
3776549.0,(2017 NS5),0.1838886721,0.411187571,106322.6925921146,52898847.9134969,Earth,False,20.8,True
2475534.0,475534 (2006 TS7),0.152249185,0.3404395273,49373.832509658,73806838.06900539,Earth,False,21.21,True
3457840.0,(2009 HA21),0.1838886721,0.411187571,71783.0738737092,21527190.235472087,Earth,False,20.8,True
2469445.0,469445 (2002 LT24),0.1034081995,0.2312277636,85376.4525372154,59673035.40777943,Earth,False,22.05,True
2420210.0,420210 (2011 HF),0.21505769,0.4808836139,38990.2713423174,43001518.37312375,Earth,False,20.46,True
3124996.0,(2002 JX8),0.2180494405,0.4875733714,58701.8546558086,67265715.88813916,Earth,False,20.43,True
3788048.0,(2017 UX5),0.283501249,0.6339280645,37535.6922583691,59285948.83974404,Earth,False,19.86,True
2494690.0,494690 (2004 JQ1),0.2597496533,0.580817882,63819.2152452762,44893983.39892378,Earth,False,20.05,True
2495187.0,495187 (2012 VO76),0.1684825693,0.3767384779,68757.8223843533,40207045.0614716,Earth,False,20.99,True
2302831.0,302831 (2003 FH),0.4060270583,0.907904103,53405.2031923825,47794372.94500252,Earth,False,19.08,True
2004179.0,4179 Toutatis (1989 AC),2.3043846658,5.152760759,42887.6251673998,6931174.79595054,Earth,False,15.31,True
3663955.0,(2014 EG45),0.1108038821,0.2477650126,107443.8273558672,72897086.38796505,Earth,False,21.9,True
54017288.0,(2020 KG6),0.3841978911,0.8590926012,135182.980473862,37399886.254357696,Earth,False,19.2,True
2612227.0,612227 (2001 QC34),0.2424124811,0.5420507863,20360.7729408324,46467490.64153917,Earth,False,20.2,True
2310560.0,310560 (2001 QL142),0.7665755735,1.7141150923,74073.7019663356,69281990.72911392,Earth,False,17.7,True
3334817.0,(2006 KY86),0.3051792326,0.6824015094,44311.2527584397,26812811.110540148,Earth,False,19.7,True
2277475.0,277475 (2005 WK4),0.2658,0.5943468684,29915.3413743684,9011009.628027303,Earth,False,20.0,True
3711785.0,(2015 DP155),0.1272198785,0.2844722965,21306.5118312916,17279174.591763698,Earth,False,21.6,True
3774612.0,(2017 JF3),0.1160259082,0.2594418179,88725.2852602807,70548719.38497517,Earth,False,21.8,True
2504680.0,504680 (2009 EO2),0.2914439045,0.6516883822,36282.1171073537,13480671.360860862,Earth,False,19.8,True
3588786.0,(2011 WN15),0.3195618867,0.7145621017,127391.6601901696,8639583.623254139,Earth,False,19.6,True
2085236.0,85236 (1993 KH),0.4836764882,1.0815335068,32134.0011481104,15165222.23009814,Earth,False,18.7,True
2250680.0,250680 (2005 QC5),0.3151773333,0.7047579421,87968.3442350447,70722508.81629159,Earth,False,19.63,True
3776295.0,(2017 NH),0.1332155667,0.2978790628,36526.93330928,19145640.899017923,Earth,False,21.5,True
3305002.0,(2005 WY55),0.1925550782,0.4305662442,59627.9222170322,45821439.20996968,Earth,False,20.7,True
2099248.0,99248 (2001 KY66),1.313877806,2.9379200884,79419.8035413443,55860979.92631586,Earth,False,16.53,True
3740934.0,(2016 BD15),0.1529519353,0.3420109247,72067.5185414422,41610028.773790106,Earth,False,21.2,True
3761034.0,(2016 TA57),0.1838886721,0.411187571,121443.7077701672,67550057.63675283,Earth,False,20.8,True
2033342.0,33342 (1998 WT24),0.6615382752,1.4792445531,85364.9876752384,64438450.96273961,Earth,False,18.02,True
2344076.0,344076 (1998 HJ3),0.4619074603,1.0328564805,66938.6521819876,27872937.41860088,Earth,False,18.8,True
3588013.0,(2011 WL2),0.1925550782,0.4305662442,38126.5320397327,6557273.425142059,Earth,False,20.7,True
2612358.0,612358 (2002 JE9),0.1407845434,0.3148038092,50481.4835276417,55614625.938825965,Earth,False,21.38,True
3601472.0,(2012 FR1),0.4023045798,0.8995803882,67314.6405352069,59452876.21676356,Earth,False,19.1,True
3249347.0,(2004 PS42),0.1460679643,0.3266178974,42598.839808773,60017224.63699446,Earth,False,21.3,True
54105102.0,(2021 AE4),0.1160259082,0.2594418179,32637.6957636782,7075581.679700688,Earth,False,21.8,True
3472299.0,(2009 UY17),0.1756123185,0.3926810818,76098.8954792113,2168130.142833063,Earth,False,20.9,True
3102743.0,(2002 AT4),0.1529519353,0.3420109247,22911.9786153452,9760786.328498704,Earth,False,21.2,True
